System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
QYE NLONG24,2025-12-19,-5832.47,1081.41,99.61,100.16,-5832.47,-0.55,1057643.94,-1081.41,1057643.94,-1081.41,-0.67
QYE NLONG3,2025-12-19,5376.63,7151.99,101.14,100.63,5376.63,0.51,1057643.94,-7151.99,1057643.94,-7151.99,-0.18
QYE NLONG4,2025-12-19,0.00,0.00,100.98,100.98,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE NLONG5,2025-12-19,6739.62,7151.99,101.34,100.70,6739.62,0.64,1057643.94,-7151.99,1057643.94,-7151.99,-0.05
QYE NLONG6,2025-12-19,0.00,0.00,100.91,100.91,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE NLONG7,2025-12-19,5376.63,7151.99,101.15,100.64,5376.63,0.51,1057643.94,-7151.99,1057643.94,-7151.99,-0.18
QYE NLONG8,2025-12-19,0.00,0.00,101.11,101.11,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE NLONG9,2025-12-19,6739.62,7151.99,101.34,100.70,6739.62,0.64,1057643.94,-7151.99,1057643.94,-7151.99,-0.05
QYE SLONG1,2025-12-19,0.00,0.00,100.41,100.41,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE SLONG10,2025-12-19,0.00,0.00,100.41,100.41,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE SLONG11,2025-12-19,0.00,0.00,99.87,99.87,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.54
QYE SLONG12,2025-12-19,0.00,0.00,100.06,100.06,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.26
QYE SLONG13,2025-12-19,-7762.87,1719.89,99.29,100.02,-7762.87,-0.73,1057643.94,-1719.89,1057643.94,-1719.89,-0.89
QYE SLONG14,2025-12-19,-7831.39,1719.89,98.99,99.73,-7831.39,-0.74,1057643.94,-1719.89,1057643.94,-1719.89,-1.01
QYE SLONG15,2025-12-19,0.00,15588.70,97.95,97.95,0.00,0.00,1057643.94,-15588.70,1057643.94,-15588.70,-2.05
QYE SLONG16,2025-12-19,0.00,8943.93,99.14,99.14,0.00,0.00,1057643.94,-8943.93,1057643.94,-8943.93,-0.87
QYE SLONG17,2025-12-19,-7762.87,1719.89,99.29,100.02,-7762.87,-0.73,1057643.94,-1719.89,1057643.94,-1719.89,-0.89
QYE SLONG18,2025-12-19,-7831.39,1719.89,98.99,99.73,-7831.39,-0.74,1057643.94,-1719.89,1057643.94,-1719.89,-1.01
QYE SLONG19,2025-12-19,0.00,15588.70,97.92,97.92,0.00,0.00,1057643.94,-15588.70,1057643.94,-15588.70,-2.08
QYE SLONG2,2025-12-19,0.00,0.00,100.26,100.26,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE SLONG20,2025-12-19,0.00,8943.93,99.13,99.13,0.00,0.00,1057643.94,-8943.93,1057643.94,-8943.93,-0.87
QYE SLONG21,2025-12-19,-7762.87,1719.89,99.17,99.90,-7762.87,-0.73,1057643.94,-1719.89,1057643.94,-1719.89,-0.89
QYE SLONG22,2025-12-19,-7831.39,1719.89,98.89,99.63,-7831.39,-0.74,1057643.94,-1719.89,1057643.94,-1719.89,-1.11
QYE SLONG23,2025-12-19,0.00,14893.67,97.88,97.88,0.00,0.00,1057643.94,-14893.67,1057643.94,-14893.67,-2.12
QYE SLONG24,2025-12-19,0.00,9015.31,99.05,99.05,0.00,0.00,1057643.94,-9015.31,1057643.94,-9015.31,-0.95
QYE SLONG3,2025-12-19,0.00,0.00,99.37,99.37,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.69
QYE SLONG4,2025-12-19,0.00,0.00,99.79,99.79,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.26
QYE SLONG5,2025-12-19,0.00,0.00,100.41,100.41,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE SLONG6,2025-12-19,0.00,0.00,100.27,100.27,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE SLONG7,2025-12-19,0.00,0.00,99.34,99.34,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.72
QYE SLONG8,2025-12-19,0.00,0.00,99.79,99.79,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.26
QYE SLONG9,2025-12-19,0.00,0.00,100.57,100.57,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE Liquidcase Stock Holdings,2025-12-19,45667887.72,0.00,100.31,100.27,20400.20,0.04,45647487.52,45647487.52,45643407.48,4080.04,0.00
QYE Debt Stock Holdings,2025-12-19,45667887.72,0.00,100.31,100.27,20400.20,0.04,45647487.52,45647487.52,45643407.48,4080.04,0.00
QYE Stock Holdings,2025-12-19,45667887.72,0.00,100.31,100.27,20400.20,0.04,45647487.52,45647487.52,45643407.48,4080.04,0.00
QYE Miscellaneous P&L,2025-12-19,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE Total Tax,2025-12-19,-2090.34,2754.02,100.00,100.00,-2090.34,0.00,0.00,-2754.02,0.00,0.00,0.00
QYE Equity Holdings Tax,2025-12-19,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE Equity Intraday Tax,2025-12-19,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE F&O Tax,2025-12-19,-2090.34,2754.02,100.00,100.00,-2090.34,0.00,0.00,-2754.02,0.00,0.00,0.00
QYE MCX Tax,2025-12-19,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE Total Other Debits and Credits,2025-12-19,-295.00,0.00,100.00,100.00,-295.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE Equity Other Debits and Credits,2025-12-19,-295.00,0.00,100.00,100.00,-295.00,0.00,0.00,0.00,0.00,0.00,0.00
