System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
NLONG17,2026-02-01,5001.62,6659.78,99.78,99.27,5001.62,0.51,982153.81,-6659.78,989723.52,-6659.78,-0.90
NLONG18,2026-02-01,5504.66,5987.74,99.46,98.91,5504.66,0.56,982153.81,-5987.74,989723.52,-5987.74,-0.87
NLONG19,2026-02-01,4885.42,7313.38,101.29,100.79,4885.42,0.50,982153.81,-7313.38,989723.52,-7313.38,-1.28
NLONG2,2026-02-01,-7601.31,4654.33,98.26,99.03,-7601.31,-0.77,982153.81,-4654.33,989723.52,-4654.33,-2.46
NLONG20,2026-02-01,5146.49,6277.51,101.60,101.07,5146.49,0.52,982153.81,-6277.51,989723.52,-6277.51,-0.32
NLONG21,2026-02-01,6261.79,5390.57,99.41,98.78,6261.79,0.64,982153.81,-5390.57,989723.52,-5390.57,-1.20
NLONG22,2026-02-01,6764.83,5242.29,99.50,98.82,6764.83,0.69,982153.81,-5242.29,989723.52,-5242.29,-0.97
NLONG23,2026-02-01,5356.33,5585.66,103.03,102.47,5356.33,0.55,982153.81,-5585.66,989723.52,-5585.66,-0.71
NLONG24,2026-02-01,5617.40,4865.80,104.00,103.41,5617.40,0.57,982153.81,-4865.80,989723.52,-4865.80,-0.07
NLONG3,2026-02-01,15868.10,-3873.99,103.44,101.80,15868.10,1.62,982153.81,3873.99,989723.52,3873.99,0.00
NLONG4,2026-02-01,-7601.31,4853.96,100.55,101.33,-7601.31,-0.77,982153.81,-4853.96,989723.52,-4853.96,-1.78
NLONG5,2026-02-01,15868.10,-3751.64,101.72,100.10,15868.10,1.62,982153.81,3751.64,989723.52,3751.64,0.00
NLONG6,2026-02-01,-7601.31,4654.33,98.18,98.95,-7601.31,-0.77,982153.81,-4654.33,989723.52,-4654.33,-2.54
NLONG7,2026-02-01,15868.10,0.00,103.80,102.15,15868.10,1.62,982153.81,0.00,989723.52,0.00,0.00
NLONG8,2026-02-01,-7601.31,4853.96,100.66,101.45,-7601.31,-0.77,982153.81,-4853.96,989723.52,-4853.96,-1.67
NLONG9,2026-02-01,15868.10,0.00,102.71,101.08,15868.10,1.62,982153.81,0.00,989723.52,0.00,0.00
SLONG1,2026-02-01,15785.35,-3891.29,102.08,100.47,15785.35,1.61,982153.81,3891.29,989723.52,3891.29,0.00
SLONG10,2026-02-01,-9005.64,4642.57,98.81,99.72,-9005.64,-0.92,982153.81,-4642.57,989723.52,-4642.57,-2.54
SLONG11,2026-02-01,15785.35,0.00,103.08,101.45,15785.35,1.61,982153.81,0.00,989723.52,0.00,0.00
SLONG12,2026-02-01,-7186.71,4618.34,98.97,99.70,-7186.71,-0.73,982153.81,-4618.34,989723.52,-4618.34,-2.39
SLONG13,2026-02-01,-12275.95,6987.49,99.18,100.44,-12275.95,-1.25,982153.81,-6987.49,989723.52,-6987.49,-2.43
SLONG14,2026-02-01,-8850.32,6506.84,99.57,100.48,-8850.32,-0.90,982153.81,-6506.84,989723.52,-6506.84,-1.80
SLONG15,2026-02-01,-4294.13,2036.49,100.63,101.07,-4294.13,-0.44,982153.81,-2036.49,989723.52,-2036.49,-1.13
SLONG16,2026-02-01,-8636.69,5948.31,100.04,100.93,-8636.69,-0.88,982153.81,-5948.31,989723.52,-5948.31,-1.48
SLONG17,2026-02-01,5236.73,6987.49,100.46,99.93,5236.73,0.53,982153.81,-6987.49,989723.52,-6987.49,-0.66
SLONG18,2026-02-01,6107.61,6506.84,100.39,99.77,6107.61,0.62,982153.81,-6506.84,989723.52,-6506.84,-0.57
SLONG19,2026-02-01,4867.70,2036.49,101.11,100.61,4867.70,0.50,982153.81,-2036.49,989723.52,-2036.49,-0.34
SLONG2,2026-02-01,-8877.07,4642.57,98.39,99.29,-8877.07,-0.90,982153.81,-4642.57,989723.52,-4642.57,-2.96
SLONG20,2026-02-01,5136.12,5948.31,100.52,100.00,5136.12,0.52,982153.81,-5948.31,989723.52,-5948.31,-0.51
SLONG21,2026-02-01,5990.61,6950.73,100.70,100.09,5990.61,0.61,982153.81,-6950.73,989723.52,-6950.73,-1.19
SLONG22,2026-02-01,6737.19,6088.38,100.81,100.12,6737.19,0.69,982153.81,-6088.38,989723.52,-6088.38,-0.97
SLONG23,2026-02-01,4911.69,1340.06,101.63,101.12,4911.69,0.50,982153.81,-1340.06,989723.52,-1340.06,-0.78
SLONG24,2026-02-01,5180.11,1106.91,101.59,101.06,5180.11,0.53,982153.81,-1106.91,989723.52,-1106.91,-0.46
SLONG3,2026-02-01,15785.35,0.00,101.23,99.63,15785.35,1.61,982153.81,0.00,989723.52,0.00,-0.13
SLONG4,2026-02-01,-8877.07,4618.34,98.67,99.57,-8877.07,-0.90,982153.81,-4618.34,989723.52,-4618.34,-2.68
SLONG5,2026-02-01,15785.35,-3661.38,101.66,100.05,15785.35,1.61,982153.81,3661.38,989723.52,3661.38,0.00
SLONG6,2026-02-01,-8877.07,4642.57,98.89,99.79,-8877.07,-0.90,982153.81,-4642.57,989723.52,-4642.57,-2.47
SLONG7,2026-02-01,15785.35,0.00,101.30,99.70,15785.35,1.61,982153.81,0.00,989723.52,0.00,-0.29
SLONG8,2026-02-01,-8877.07,4618.34,98.92,99.82,-8877.07,-0.90,982153.81,-4618.34,989723.52,-4618.34,-2.44
SLONG9,2026-02-01,15785.35,0.00,102.99,101.36,15785.35,1.61,982153.81,0.00,989723.52,0.00,0.00
Large Cap Stock Holdings,2026-02-01,25407618.75,0.00,95.01,97.67,-710282.50,-2.72,26117901.25,26117901.25,26104232.50,13668.75,-4.99
Liquidcase Stock Holdings,2026-02-01,6600518.40,0.00,100.18,100.18,0.00,0.00,6600518.40,6600518.40,6598172.80,2345.60,0.00
Small Cap Stock Holdings,2026-02-01,10941250.00,0.00,97.42,99.25,-205575.00,-1.84,11146825.00,11146825.00,10934375.00,212450.00,-2.58
Debt Stock Holdings,2026-02-01,6600518.40,0.00,100.18,100.18,0.00,0.00,6600518.40,6600518.40,6598172.80,2345.60,0.00
Equity Stock Holdings,2026-02-01,36348868.75,0.00,95.72,98.13,-915857.50,-2.46,37264726.25,37264726.25,37038607.50,226118.75,-4.28
Stock Holdings,2026-02-01,42949387.15,0.00,96.39,98.45,-915857.50,-2.09,43865244.65,43865244.65,43636780.30,228464.35,-3.61
Miscellaneous P&L,2026-02-01,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Tax,2026-02-01,-4963.27,3446.44,100.00,100.00,-4963.27,0.00,0.00,-3446.44,0.00,0.00,0.00
Equity Holdings Tax,2026-02-01,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Equity Intraday Tax,2026-02-01,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F&O Tax,2026-02-01,-4963.27,3446.44,100.00,100.00,-4963.27,0.00,0.00,-3446.44,0.00,0.00,0.00
MCX Tax,2026-02-01,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Other Debits and Credits,2026-02-01,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Equity Other Debits and Credits,2026-02-01,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NPSAR,2026-02-01,2982414.19,87457.21,99.76,99.61,35952.74,0.15,23571691.63,2859004.25,23753364.57,-110166.32,-0.69
SPSAR,2026-02-01,2951304.68,69397.91,100.07,100.05,4843.23,0.02,23571691.63,2877063.55,23753364.57,-92107.02,-0.57
NLONG,2026-02-01,94176.08,90066.74,101.15,100.75,94176.08,0.40,23571691.44,-90066.74,23753364.48,-90066.74,-0.54
SLONG,2026-02-01,53122.14,78674.40,100.49,100.26,53122.14,0.23,23571691.44,-78674.40,23753364.48,-78674.40,-0.70
PSAR,2026-02-01,5933718.88,156855.13,99.92,99.83,40795.97,0.09,47143383.26,5736067.80,47506729.14,-202273.34,-0.63
LONG,2026-02-01,147298.22,168741.14,100.82,100.51,147298.22,0.31,47143382.88,-168741.14,47506728.96,-168741.14,-0.58
Total Portfolio Value,2026-02-01,6076053.83,329042.71,100.65,100.26,183130.92,0.39,47143383.00,5563880.22,47506729.00,-374460.92,-1.25
Zerodha Total Portfolio,2026-02-01,46703032.28,0.00,97.36,98.88,-732726.58,-1.54,47435758.86,47435758.86,47581755.43,-145996.57,-2.64
NPSAR1,2026-02-02,164461.14,-15711.91,102.10,102.13,-370.50,-0.03,1318653.12,180543.55,1309538.43,16851.25,-0.03
NPSAR10,2026-02-02,380503.61,-16047.21,100.72,100.39,9632.42,0.32,2966969.50,386918.40,2946461.44,18610.72,-0.10
NPSAR11,2026-02-02,383985.60,-8921.31,99.27,98.83,13114.41,0.44,2966969.50,379792.50,2946461.44,11484.82,-0.96
NPSAR12,2026-02-02,360259.58,12380.36,98.15,98.50,-10611.61,-0.36,2966969.50,358490.83,2946461.44,-9816.85,-2.55
NPSAR13,2026-02-02,378428.72,5699.44,98.86,98.61,7557.53,0.25,2966969.50,365171.75,2946461.44,-3135.93,-1.87
NPSAR2,2026-02-02,159813.64,16934.33,98.55,98.93,-5018.00,-0.38,1318653.12,147897.31,1309538.43,-15794.99,-2.22
NPSAR3,2026-02-02,163739.64,1202.81,100.61,100.69,-1092.00,-0.08,1318653.12,163628.83,1309538.43,-63.47,-0.34
NPSAR4,2026-02-02,163739.64,2829.32,100.57,100.65,-1092.00,-0.08,1318653.12,162002.32,1309538.43,-1689.98,-0.49
NPSAR5,2026-02-02,163739.64,1202.81,100.81,100.89,-1092.00,-0.08,1318653.12,163628.83,1309538.43,-63.47,-0.34
NPSAR6,2026-02-02,164867.39,-6704.03,101.44,101.44,35.75,0.00,1318653.12,171535.67,1309538.43,7843.37,0.00
NPSAR7,2026-02-02,165205.39,-8240.29,100.86,100.83,373.75,0.03,1318653.12,173071.93,1309538.43,9379.63,0.00
NPSAR8,2026-02-02,164867.39,-34.48,99.09,99.09,35.75,0.00,1318653.12,164866.12,1309538.43,1173.82,-1.65
NPSAR9,2026-02-02,165356.32,-34.48,99.39,99.35,524.68,0.04,1318653.12,164866.12,1309538.43,1173.82,-1.32
SPSAR1,2026-02-02,165005.64,-6696.66,101.70,101.69,174.00,0.01,1318653.12,171528.30,1309538.43,7836.00,0.00
SPSAR10,2026-02-02,378739.40,-13523.64,101.15,100.88,7868.21,0.27,2966969.50,384394.83,2946461.44,16087.15,0.00
SPSAR11,2026-02-02,383705.83,-16812.99,100.18,99.75,12834.64,0.43,2966969.50,387684.18,2946461.44,19376.50,-0.21
SPSAR12,2026-02-02,360517.80,11850.64,99.15,99.50,-10353.39,-0.35,2966969.50,359020.55,2946461.44,-9287.13,-1.47
SPSAR13,2026-02-02,375426.35,12220.58,98.73,98.58,4555.16,0.15,2966969.50,358650.61,2946461.44,-9657.07,-2.30
SPSAR2,2026-02-02,158689.64,19623.84,98.94,99.40,-6142.00,-0.47,1318653.12,145207.80,1309538.43,-18484.50,-2.04
SPSAR3,2026-02-02,161282.64,9217.30,100.41,100.68,-3549.00,-0.27,1318653.12,155614.34,1309538.43,-8077.96,-1.05
