System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %,,,,,,,,,,,,
QAW SLONG16,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG17,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG18,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG19,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG2,2025-11-24,-1267.94,0.00,99.88,100.00,-1267.94,-0.12,1040612.06,0.00,0.00,0.00,-0.12,,,,,,,,,,,,
QAW SLONG20,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG21,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG22,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG23,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG24,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG3,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG4,2025-11-24,-1267.94,0.00,99.88,100.00,-1267.94,-0.12,1040612.06,0.00,0.00,0.00,-0.12,,,,,,,,,,,,
QAW SLONG5,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG6,2025-11-24,-1267.94,0.00,99.88,100.00,-1267.94,-0.12,1040612.06,0.00,0.00,0.00,-0.12,,,,,,,,,,,,
QAW SLONG7,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG8,2025-11-24,-1267.94,0.00,99.88,100.00,-1267.94,-0.12,1040612.06,0.00,0.00,0.00,-0.12,,,,,,,,,,,,
QAW SLONG9,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
Gold Stock Holdings,2025-11-24,14010621.50,13999804.94,100.08,100.00,10816.56,0.08,13999804.94,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Low Vol Stock Holdings,2025-11-24,6969805.00,7008219.14,99.45,100.00,-38414.14,-0.55,7008219.14,0.00,0.00,0.00,-0.55,,,,,,,,,,,,
QAW Liquidcase Stock Holdings,2025-11-24,10007464.95,10001182.80,100.06,100.00,6282.15,0.06,10001182.80,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW Momentum Stock Holdings,2025-11-24,13838041.69,14000831.76,98.84,100.00,-162790.07,-1.16,14000831.76,0.00,0.00,0.00,-1.16,,,,,,,,,,,,
Debt Stock Holdings,2025-11-24,10007464.95,10001182.80,100.06,100.00,6282.15,0.06,10001182.80,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Equity Stock Holdings,2025-11-24,34818468.19,35008855.84,99.46,100.00,-190387.65,-0.54,35008855.84,0.00,0.00,0.00,-0.54,,,,,,,,,,,,
Stock Holdings,2025-11-24,44825933.14,45010038.64,99.59,100.00,-184105.50,-0.41,45010038.64,0.00,0.00,0.00,-0.41,,,,,,,,,,,,
Miscellaneous P&L,2025-11-24,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
